captain_id,signup_ts,city,vehicle_type,acquisition_channel,signup_zone_id,device_tier,app_language,age_band
CPT111710,01-01-2026 15:58,Bangalore,Auto,organic_app,BAN-Z10,low,en,25-34
CPT105603,01-01-2026 15:58,Hyderabad,Cab,referral,HYD-Z14,low,hi,25-34
CPT112135,01-01-2026 16:00,Bangalore,Auto,organic_app,BAN-Z16,mid,mr,18-24
CPT113441,01-01-2026 16:09,Bangalore,Auto,fos_field,BAN-Z13,high,mr,18-24
CPT122638,01-01-2026 16:15,Hyderabad,Auto,fos_field,HYD-Z08,low,en,25-34
CPT121448,01-01-2026 16:16,Delhi,Cab,fos_field,DEL-Z15,mid,en,35-44
CPT103424,01-01-2026 16:19,Hyderabad,Cab,organic_app,HYD-Z05,low,te,25-34
CPT123958,01-01-2026 16:24,Hyderabad,ERickshaw,organic_app,HYD-Z14,mid,te,45+
CPT104054,01-01-2026 16:40,Delhi,ERickshaw,paid_digital,DEL-Z23,high,mr,25-34
CPT113494,01-01-2026 16:41,Delhi,Auto,fos_field,DEL-Z07,low,te,25-34
CPT108255,01-01-2026 16:43,Bangalore,Cab,organic_app,BAN-Z20,high,en,35-44
CPT113903,01-01-2026 16:45,Delhi,ERickshaw,fos_field,DEL-Z04,high,mr,18-24
CPT102544,01-01-2026 16:53,Delhi,Auto,organic_app,DEL-Z05,low,te,18-24
CPT101585,01-01-2026 16:56,Delhi,ERickshaw,paid_digital,DEL-Z01,mid,kn,25-34
CPT117717,01-01-2026 17:08,Delhi,Auto,paid_digital,DEL-Z14,low,en,45+
CPT124627,01-01-2026 17:08,Pune,ERickshaw,paid_digital,PUN-Z21,mid,hi,25-34
CPT102803,01-01-2026 17:24,Delhi,Auto,fos_field,DEL-Z20,high,hi,18-24
CPT113889,01-01-2026 17:32,Hyderabad,ERickshaw,organic_app,HYD-Z01,low,te,25-34
CPT115779,01-01-2026 17:33,Hyderabad,Cab,organic_app,HYD-Z11,low,mr,25-34
CPT112620,01-01-2026 17:35,Delhi,Cab,organic_app,DEL-Z22,mid,mr,25-34
CPT103397,01-01-2026 17:38,Pune,Auto,gc_telecalling,PUN-Z11,low,te,25-34
CPT115021,01-01-2026 17:46,Pune,Auto,organic_app,PUN-Z13,low,mr,35-44
CPT102749,01-01-2026 17:47,Pune,Auto,organic_app,PUN-Z03,high,te,25-34
CPT103928,01-01-2026 17:51,Delhi,Cab,fos_field,DEL-Z04,low,mr,18-24
CPT101520,01-01-2026 18:10,Hyderabad,Cab,fos_field,HYD-Z13,high,te,45+
CPT122425,01-01-2026 18:35,Hyderabad,Cab,fos_field,HYD-Z21,mid,en,45+
CPT113968,01-01-2026 18:39,Bangalore,Auto,gc_telecalling,BAN-Z07,mid,kn,35-44
CPT106306,01-01-2026 18:48,Bangalore,Auto,referral,BAN-Z07,mid,en,25-34
CPT114854,01-01-2026 18:53,Bangalore,Cab,organic_app,BAN-Z19,mid,mr,35-44
CPT107824,01-01-2026 18:55,Hyderabad,Auto,organic_app,HYD-Z14,low,kn,25-34
CPT123305,01-01-2026 19:01,Hyderabad,Auto,fos_field,HYD-Z06,mid,te,35-44
CPT110483,01-01-2026 19:40,Bangalore,ERickshaw,organic_app,BAN-Z19,mid,te,35-44
CPT118023,01-01-2026 19:57,Bangalore,Cab,organic_app,BAN-Z02,high,kn,25-34
CPT104960,01-01-2026 20:04,Hyderabad,Cab,organic_app,HYD-Z14,mid,hi,25-34
CPT105466,01-01-2026 20:16,Pune,Auto,gc_telecalling,PUN-Z01,low,te,45+
CPT120812,01-01-2026 20:20,Pune,Auto,organic_app,PUN-Z10,high,kn,35-44
CPT118479,01-01-2026 20:20,Hyderabad,Cab,paid_digital,HYD-Z22,high,kn,45+
CPT109776,01-01-2026 20:23,Pune,ERickshaw,gc_telecalling,PUN-Z21,mid,te,45+
CPT105349,01-01-2026 20:35,Bangalore,Cab,fos_field,BAN-Z23,low,hi,25-34
CPT110504,01-01-2026 20:38,Hyderabad,Auto,organic_app,HYD-Z11,low,kn,35-44
CPT115765,01-01-2026 20:43,Delhi,ERickshaw,fos_field,DEL-Z18,high,mr,25-34
CPT116547,01-01-2026 21:02,Pune,Auto,fos_field,PUN-Z08,low,kn,25-34
CPT117008,01-01-2026 21:09,Hyderabad,Cab,referral,HYD-Z04,low,mr,35-44
CPT109242,01-01-2026 21:19,Bangalore,Cab,referral,BAN-Z16,low,hi,18-24
CPT106452,01-01-2026 21:23,Bangalore,Auto,fos_field,BAN-Z03,mid,mr,35-44
CPT119558,01-01-2026 21:40,Delhi,Auto,organic_app,DEL-Z05,low,kn,35-44
CPT118211,01-01-2026 21:56,Bangalore,Cab,fos_field,BAN-Z09,mid,kn,25-34
CPT104234,01-01-2026 21:56,Delhi,Auto,organic_app,DEL-Z24,low,mr,25-34
CPT117393,02-01-2026 06:09,Delhi,Auto,organic_app,DEL-Z02,mid,kn,25-34
CPT117491,02-01-2026 06:09,Hyderabad,Cab,referral,HYD-Z11,low,hi,25-34
CPT100006,02-01-2026 06:15,Pune,Auto,referral,PUN-Z05,low,en,35-44
CPT113894,02-01-2026 06:15,Delhi,Auto,organic_app,DEL-Z17,low,mr,35-44
CPT107399,02-01-2026 06:25,Bangalore,Cab,organic_app,BAN-Z08,low,mr,45+
CPT115497,02-01-2026 06:34,Pune,Auto,referral,PUN-Z16,mid,en,35-44
CPT121430,02-01-2026 06:35,Bangalore,Cab,paid_digital,BAN-Z07,mid,kn,18-24
CPT120845,02-01-2026 07:05,Hyderabad,Cab,organic_app,HYD-Z06,low,en,45+
CPT105175,02-01-2026 07:18,Delhi,Cab,organic_app,DEL-Z20,low,te,25-34
CPT103730,02-01-2026 07:25,Pune,Cab,organic_app,PUN-Z14,mid,hi,35-44
CPT108347,02-01-2026 07:33,Pune,Auto,organic_app,PUN-Z22,mid,mr,18-24
CPT123063,02-01-2026 07:33,Pune,ERickshaw,fos_field,PUN-Z17,low,mr,45+
CPT102281,02-01-2026 07:52,Hyderabad,Cab,fos_field,HYD-Z21,mid,kn,18-24
CPT109629,02-01-2026 07:53,Pune,Auto,organic_app,PUN-Z04,low,en,18-24
CPT121627,02-01-2026 08:22,Pune,Auto,referral,PUN-Z01,mid,te,25-34
CPT104495,02-01-2026 08:37,Hyderabad,Auto,referral,HYD-Z24,low,en,25-34
CPT119837,02-01-2026 08:45,Delhi,ERickshaw,fos_field,DEL-Z18,low,en,18-24
CPT105626,02-01-2026 08:51,Bangalore,Cab,referral,BAN-Z09,mid,kn,25-34
CPT104855,02-01-2026 08:53,Hyderabad,Cab,organic_app,HYD-Z04,low,mr,25-34
CPT116831,02-01-2026 08:56,Pune,Cab,fos_field,PUN-Z02,mid,mr,25-34
CPT109728,02-01-2026 08:57,Pune,Cab,fos_field,PUN-Z02,mid,hi,18-24
CPT107888,02-01-2026 09:06,Pune,Auto,organic_app,PUN-Z14,low,en,18-24
CPT109496,02-01-2026 09:22,Pune,Auto,organic_app,PUN-Z10,mid,hi,25-34
CPT121120,02-01-2026 09:27,Bangalore,Cab,paid_digital,BAN-Z20,mid,te,45+
CPT123965,02-01-2026 09:28,Bangalore,ERickshaw,organic_app,BAN-Z14,low,te,25-34
CPT115644,02-01-2026 09:35,Bangalore,Auto,organic_app,BAN-Z13,low,te,25-34
CPT111476,02-01-2026 09:40,Delhi,ERickshaw,organic_app,DEL-Z11,high,kn,45+
CPT121838,02-01-2026 10:00,Hyderabad,Auto,gc_telecalling,HYD-Z11,low,kn,18-24
CPT103916,02-01-2026 10:02,Delhi,ERickshaw,organic_app,DEL-Z16,low,kn,35-44
CPT108072,02-01-2026 10:12,Hyderabad,Auto,gc_telecalling,HYD-Z18,mid,hi,45+
CPT123810,02-01-2026 10:23,Hyderabad,Auto,gc_telecalling,HYD-Z14,mid,kn,25-34
CPT122115,02-01-2026 10:26,Bangalore,Cab,organic_app,BAN-Z17,mid,mr,18-24
CPT115637,02-01-2026 10:36,Bangalore,Cab,fos_field,BAN-Z18,high,te,35-44
CPT121573,02-01-2026 10:38,Pune,Auto,organic_app,PUN-Z20,mid,kn,25-34
CPT118733,02-01-2026 10:42,Delhi,ERickshaw,fos_field,DEL-Z19,mid,en,35-44
CPT124471,02-01-2026 10:47,Delhi,Cab,fos_field,DEL-Z09,low,mr,35-44
CPT105584,02-01-2026 11:01,Bangalore,Auto,organic_app,BAN-Z13,mid,en,45+
CPT111257,02-01-2026 11:03,Delhi,Auto,organic_app,DEL-Z14,low,mr,25-34
CPT106570,02-01-2026 11:11,Pune,Cab,gc_telecalling,PUN-Z05,low,kn,25-34
CPT122016,02-01-2026 11:18,Bangalore,Cab,gc_telecalling,BAN-Z22,mid,hi,35-44
CPT116477,02-01-2026 11:29,Hyderabad,Cab,paid_digital,HYD-Z05,mid,mr,18-24
CPT115347,02-01-2026 11:33,Hyderabad,ERickshaw,paid_digital,HYD-Z20,low,mr,35-44
CPT106655,02-01-2026 11:37,Delhi,Auto,referral,DEL-Z08,high,hi,18-24
CPT106216,02-01-2026 11:41,Pune,Auto,referral,PUN-Z06,low,mr,35-44
CPT102236,02-01-2026 11:47,Bangalore,Cab,paid_digital,BAN-Z18,low,kn,25-34
CPT107562,02-01-2026 11:58,Delhi,ERickshaw,paid_digital,DEL-Z23,low,kn,35-44
CPT108557,02-01-2026 11:58,Pune,ERickshaw,fos_field,PUN-Z21,mid,kn,25-34
CPT101879,02-01-2026 12:03,Pune,Auto,referral,PUN-Z08,mid,mr,25-34
CPT110494,02-01-2026 12:09,Pune,ERickshaw,referral,PUN-Z15,low,en,18-24
CPT122322,02-01-2026 12:32,Delhi,ERickshaw,fos_field,DEL-Z11,low,te,25-34
CPT115213,02-01-2026 12:41,Delhi,ERickshaw,fos_field,DEL-Z04,low,en,35-44
CPT109023,02-01-2026 12:50,Pune,Auto,referral,PUN-Z12,low,en,18-24
CPT113985,02-01-2026 13:05,Hyderabad,Cab,referral,HYD-Z21,mid,hi,35-44
CPT118467,02-01-2026 13:10,Bangalore,Auto,gc_telecalling,BAN-Z24,mid,kn,25-34
CPT120645,02-01-2026 13:41,Delhi,Auto,paid_digital,DEL-Z20,low,te,18-24
CPT111221,02-01-2026 13:50,Pune,Auto,referral,PUN-Z05,high,kn,25-34
CPT113637,02-01-2026 13:56,Pune,Auto,organic_app,PUN-Z09,mid,mr,25-34
CPT116142,02-01-2026 13:59,Hyderabad,Auto,referral,HYD-Z06,low,en,25-34
CPT107742,02-01-2026 14:05,Pune,ERickshaw,fos_field,PUN-Z11,low,te,25-34
CPT107899,02-01-2026 14:09,Hyderabad,Auto,fos_field,HYD-Z15,high,hi,25-34
CPT103100,02-01-2026 14:10,Bangalore,Cab,fos_field,BAN-Z09,low,mr,18-24
CPT100680,02-01-2026 14:32,Hyderabad,Auto,organic_app,HYD-Z11,mid,mr,25-34
CPT106121,02-01-2026 14:40,Bangalore,Cab,referral,BAN-Z11,high,hi,25-34
CPT115180,02-01-2026 14:58,Hyderabad,ERickshaw,fos_field,HYD-Z06,mid,en,25-34
CPT103276,02-01-2026 15:12,Bangalore,Auto,organic_app,BAN-Z24,low,mr,18-24
CPT115743,02-01-2026 15:14,Delhi,Cab,fos_field,DEL-Z13,mid,en,35-44
CPT108209,02-01-2026 15:27,Delhi,ERickshaw,organic_app,DEL-Z11,mid,kn,25-34
CPT105674,02-01-2026 15:31,Hyderabad,Auto,fos_field,HYD-Z20,high,mr,45+
CPT101759,02-01-2026 15:45,Pune,Auto,fos_field,PUN-Z19,low,en,25-34
CPT117697,02-01-2026 15:45,Bangalore,Auto,paid_digital,BAN-Z20,low,te,35-44
CPT101235,02-01-2026 15:48,Hyderabad,Auto,referral,HYD-Z16,low,kn,25-34
CPT119887,02-01-2026 16:09,Pune,Auto,organic_app,PUN-Z18,low,mr,25-34
CPT105230,02-01-2026 16:11,Hyderabad,ERickshaw,referral,HYD-Z04,low,te,18-24
CPT102972,02-01-2026 17:17,Bangalore,Auto,paid_digital,BAN-Z11,mid,hi,45+
CPT119337,02-01-2026 17:20,Delhi,ERickshaw,organic_app,DEL-Z12,low,te,25-34
CPT124576,02-01-2026 17:31,Hyderabad,Cab,fos_field,HYD-Z03,mid,te,35-44
CPT122111,02-01-2026 17:47,Pune,Auto,gc_telecalling,PUN-Z13,low,en,25-34
CPT100877,02-01-2026 17:48,Hyderabad,Auto,fos_field,HYD-Z18,mid,kn,25-34
CPT103290,02-01-2026 17:50,Delhi,ERickshaw,organic_app,DEL-Z20,low,kn,35-44
CPT123113,02-01-2026 18:07,Delhi,ERickshaw,gc_telecalling,DEL-Z09,mid,en,18-24
CPT111878,02-01-2026 18:08,Delhi,ERickshaw,organic_app,DEL-Z05,mid,te,18-24
CPT100114,02-01-2026 18:19,Delhi,Cab,paid_digital,DEL-Z05,mid,kn,25-34
CPT114082,02-01-2026 18:24,Pune,ERickshaw,paid_digital,PUN-Z17,mid,mr,18-24
CPT108303,02-01-2026 18:35,Pune,Cab,paid_digital,PUN-Z22,low,hi,45+
CPT121312,02-01-2026 18:50,Pune,Auto,organic_app,PUN-Z01,high,kn,18-24
CPT107583,02-01-2026 18:53,Hyderabad,Cab,paid_digital,HYD-Z06,mid,mr,18-24
CPT112336,02-01-2026 19:07,Bangalore,Cab,organic_app,BAN-Z07,low,en,35-44
CPT101592,02-01-2026 19:12,Delhi,Cab,fos_field,DEL-Z12,low,kn,25-34
CPT107395,02-01-2026 19:18,Hyderabad,Cab,referral,HYD-Z11,mid,kn,45+
CPT120594,02-01-2026 19:28,Hyderabad,Cab,organic_app,HYD-Z11,mid,mr,35-44
CPT102942,02-01-2026 19:33,Delhi,ERickshaw,organic_app,DEL-Z03,low,hi,45+
CPT109370,02-01-2026 19:36,Delhi,Auto,fos_field,DEL-Z24,mid,hi,18-24
CPT117186,02-01-2026 19:40,Hyderabad,Auto,organic_app,HYD-Z20,mid,en,35-44
CPT103465,02-01-2026 19:53,Hyderabad,Cab,organic_app,HYD-Z03,low,kn,25-34
CPT122011,02-01-2026 20:14,Pune,Auto,organic_app,PUN-Z06,low,en,25-34
CPT120100,02-01-2026 20:16,Hyderabad,Auto,fos_field,HYD-Z01,mid,te,25-34
CPT105383,02-01-2026 20:18,Pune,Auto,paid_digital,PUN-Z20,mid,mr,35-44
CPT109233,02-01-2026 20:18,Hyderabad,Auto,gc_telecalling,HYD-Z24,mid,te,18-24
CPT112369,02-01-2026 20:28,Hyderabad,Cab,fos_field,HYD-Z12,low,kn,25-34
CPT115233,02-01-2026 20:46,Bangalore,Auto,referral,BAN-Z05,low,mr,25-34
CPT100923,02-01-2026 20:47,Hyderabad,Auto,fos_field,HYD-Z12,mid,kn,25-34
CPT122921,02-01-2026 20:49,Hyderabad,Auto,organic_app,HYD-Z11,mid,hi,25-34
CPT112318,02-01-2026 21:00,Bangalore,Cab,referral,BAN-Z15,low,en,35-44
CPT105945,02-01-2026 21:04,Delhi,ERickshaw,organic_app,DEL-Z07,mid,mr,35-44
CPT111088,02-01-2026 21:06,Pune,Auto,fos_field,PUN-Z05,mid,kn,25-34
CPT107578,02-01-2026 21:07,Hyderabad,ERickshaw,organic_app,HYD-Z23,mid,mr,25-34
CPT106989,02-01-2026 21:08,Delhi,ERickshaw,fos_field,DEL-Z18,high,kn,25-34
CPT105764,02-01-2026 21:16,Delhi,Cab,fos_field,DEL-Z01,mid,kn,35-44
CPT101096,02-01-2026 21:39,Pune,Auto,gc_telecalling,PUN-Z01,low,mr,18-24
CPT101793,02-01-2026 21:45,Hyderabad,Cab,referral,HYD-Z03,mid,kn,18-24
CPT105796,02-01-2026 21:49,Bangalore,Cab,gc_telecalling,BAN-Z12,low,kn,25-34
CPT118861,02-01-2026 21:54,Pune,Cab,referral,PUN-Z24,low,hi,25-34
CPT114111,03-01-2026 06:06,Bangalore,Auto,fos_field,BAN-Z02,high,en,25-34
CPT105918,03-01-2026 06:09,Delhi,Auto,organic_app,DEL-Z14,mid,en,35-44
CPT102032,03-01-2026 06:37,Delhi,ERickshaw,referral,DEL-Z22,mid,hi,45+
CPT124055,03-01-2026 06:39,Delhi,Cab,fos_field,DEL-Z09,mid,en,25-34
CPT106150,03-01-2026 06:40,Hyderabad,Cab,referral,HYD-Z24,mid,en,25-34
CPT121960,03-01-2026 06:56,Hyderabad,Cab,fos_field,HYD-Z19,low,mr,18-24
CPT110096,03-01-2026 07:34,Delhi,ERickshaw,organic_app,DEL-Z05,low,te,45+
CPT109517,03-01-2026 07:34,Pune,ERickshaw,paid_digital,PUN-Z09,mid,mr,25-34
CPT115968,03-01-2026 08:27,Delhi,Cab,gc_telecalling,DEL-Z15,low,te,25-34
CPT114311,03-01-2026 08:29,Delhi,ERickshaw,fos_field,DEL-Z11,low,hi,25-34
CPT101135,03-01-2026 09:13,Delhi,Auto,gc_telecalling,DEL-Z19,low,kn,35-44
CPT105952,03-01-2026 09:16,Hyderabad,Auto,referral,HYD-Z05,low,te,18-24
CPT115952,03-01-2026 09:17,Bangalore,Cab,organic_app,BAN-Z18,low,en,18-24
CPT123614,03-01-2026 09:21,Bangalore,Auto,paid_digital,BAN-Z20,mid,hi,18-24
CPT115833,03-01-2026 09:34,Delhi,Auto,fos_field,DEL-Z20,mid,hi,25-34
CPT104219,03-01-2026 09:47,Pune,Auto,referral,PUN-Z08,low,te,25-34
CPT123973,03-01-2026 09:53,Bangalore,ERickshaw,fos_field,BAN-Z07,mid,kn,18-24
CPT106468,03-01-2026 10:01,Delhi,ERickshaw,referral,DEL-Z02,low,te,35-44
CPT113666,03-01-2026 10:12,Pune,Auto,paid_digital,PUN-Z22,mid,en,45+
CPT110417,03-01-2026 10:22,Hyderabad,Cab,organic_app,HYD-Z08,low,hi,35-44
CPT117956,03-01-2026 10:28,Hyderabad,Cab,fos_field,HYD-Z09,low,en,25-34
CPT120238,03-01-2026 10:36,Hyderabad,ERickshaw,referral,HYD-Z02,low,en,45+
CPT105091,03-01-2026 10:40,Pune,Cab,organic_app,PUN-Z20,low,mr,35-44
CPT121072,03-01-2026 10:46,Pune,Cab,organic_app,PUN-Z15,mid,hi,25-34
CPT105404,03-01-2026 10:53,Hyderabad,ERickshaw,organic_app,HYD-Z16,low,hi,25-34
CPT119612,03-01-2026 11:03,Pune,Auto,organic_app,PUN-Z03,high,te,35-44
CPT123143,03-01-2026 11:09,Pune,Auto,referral,PUN-Z04,low,te,25-34
CPT107995,03-01-2026 11:13,Hyderabad,Auto,organic_app,HYD-Z06,mid,en,35-44
CPT108575,03-01-2026 11:35,Pune,Auto,gc_telecalling,PUN-Z01,mid,kn,35-44
CPT117259,03-01-2026 11:40,Bangalore,Cab,fos_field,BAN-Z08,low,kn,35-44
CPT103230,03-01-2026 11:41,Pune,Cab,gc_telecalling,PUN-Z06,mid,en,18-24
CPT100747,03-01-2026 11:47,Pune,Auto,organic_app,PUN-Z04,low,hi,45+
CPT114903,03-01-2026 11:50,Delhi,ERickshaw,referral,DEL-Z24,mid,mr,35-44
CPT105491,03-01-2026 12:26,Hyderabad,ERickshaw,referral,HYD-Z24,mid,kn,25-34
CPT123453,03-01-2026 12:44,Delhi,ERickshaw,organic_app,DEL-Z23,low,kn,35-44
CPT104052,03-01-2026 13:02,Bangalore,Cab,fos_field,BAN-Z02,high,en,35-44
CPT104100,03-01-2026 13:05,Pune,Auto,fos_field,PUN-Z06,mid,kn,25-34
CPT110507,03-01-2026 13:06,Delhi,ERickshaw,fos_field,DEL-Z24,mid,kn,25-34
CPT102508,03-01-2026 13:12,Delhi,Auto,fos_field,DEL-Z02,low,en,45+
CPT120546,03-01-2026 13:12,Hyderabad,Cab,paid_digital,HYD-Z09,low,te,35-44
CPT115936,03-01-2026 13:16,Hyderabad,Auto,referral,HYD-Z09,low,hi,25-34
CPT111427,03-01-2026 13:35,Bangalore,Cab,organic_app,BAN-Z21,mid,en,18-24
CPT102995,03-01-2026 13:46,Delhi,ERickshaw,organic_app,DEL-Z21,mid,kn,35-44
CPT124765,03-01-2026 13:47,Pune,ERickshaw,organic_app,PUN-Z16,mid,mr,35-44
CPT115822,03-01-2026 13:57,Hyderabad,Cab,organic_app,HYD-Z11,low,en,25-34
CPT118564,03-01-2026 14:14,Hyderabad,Cab,fos_field,HYD-Z18,low,te,18-24
CPT101762,03-01-2026 14:23,Hyderabad,Cab,organic_app,HYD-Z14,mid,te,35-44
CPT109113,03-01-2026 14:41,Hyderabad,Cab,fos_field,HYD-Z02,high,mr,25-34
CPT107313,03-01-2026 14:45,Pune,ERickshaw,fos_field,PUN-Z13,mid,kn,35-44
CPT118656,03-01-2026 15:06,Bangalore,Auto,referral,BAN-Z11,high,hi,25-34
CPT100032,03-01-2026 15:19,Hyderabad,Cab,organic_app,HYD-Z10,low,mr,18-24
CPT121649,03-01-2026 15:23,Hyderabad,Auto,fos_field,HYD-Z05,low,en,35-44
CPT115676,03-01-2026 15:26,Hyderabad,Cab,fos_field,HYD-Z17,low,kn,18-24
CPT108988,03-01-2026 15:50,Hyderabad,ERickshaw,paid_digital,HYD-Z03,mid,en,35-44
CPT103055,03-01-2026 15:54,Bangalore,Cab,referral,BAN-Z06,mid,te,35-44
CPT110128,03-01-2026 16:07,Delhi,Auto,organic_app,DEL-Z18,low,en,18-24
CPT112428,03-01-2026 16:12,Delhi,Auto,organic_app,DEL-Z24,mid,kn,25-34
CPT102341,03-01-2026 16:15,Bangalore,Auto,organic_app,BAN-Z03,mid,hi,25-34
CPT114765,03-01-2026 16:46,Hyderabad,Auto,organic_app,HYD-Z08,mid,hi,35-44
CPT114217,03-01-2026 16:46,Bangalore,Cab,organic_app,BAN-Z02,low,en,35-44
CPT109172,03-01-2026 16:50,Pune,Auto,organic_app,PUN-Z04,high,hi,35-44
CPT103255,03-01-2026 16:58,Delhi,ERickshaw,fos_field,DEL-Z24,mid,en,45+
